Cancer	Morbidity	Cohort	Positive	OR	Lower_CI	Upper_CI	pvalue
Respiratory	Pulmonary hypertension	149|54634	0|60	0.5982778504980996	0.13499467847828694	2.651485158018271	0.4988664
Lymphoma	Chronic kidney disease	193|54634	0|68	0.6009575375127275	0.1373056082989256	2.6302637333437113	0.4989959
Lymphoma	Portal hypertension	193|54634	0|68	0.6009575375127275	0.1373056082989256	2.6302637333437113	0.4989959
Secondary	Sarcoidosis	479|54634	3|98	1.274129244746303	0.6306695538895077	2.5740981506175618	0.4995397
Lung	Autonomic neuropathy	130|54634	1|87	1.6098854058942367	0.40404187314232887	6.4145109514386425	0.4996028
Gynaecological	Barretts oesophagus	361|30319	0|22	0.5978053976396567	0.13353493366227703	2.676238222059069	0.5011002
Bladder	Liver failure and transplant	163|54634	0|84	0.6026901872156983	0.13770337000742197	2.6378109827414957	0.5014217
Lymphoma	Somatoform and dissociative disorders	193|54634	10|2700	1.1291487158396902	0.7923911284642563	1.609024604999643	0.5014571
Ovarian	Alcohol dependence	117|30319	4|1305	0.8630617825680017	0.5617374663270321	1.3260209353666383	0.5015007
Male genital	Learning disability	222|24315	0|141	0.591741733658213	0.12806395646091998	2.734245364812557	0.5016419
Thyroid	Type 2 Diabetes	121|54634	20|8982	0.9149992805418363	0.7056680049756233	1.1864271548219039	0.502713
Non-Melanoma Skin	Dysmenorrhoea	59|30319	4|1786	1.2250430668610792	0.6760355334807449	2.2198988682406933	0.503364
Breast	Hyperprolactinaemia and prolactinoma	428|30319	1|173	0.7826419243833965	0.381702320449508	1.6047279489451576	0.5035032
Breast	Other anaemias	428|30319	84|4124	1.043522177182763	0.9210679306084816	1.1822564852006872	0.5035331
Uterine	Crohns disease	102|30319	0|110	0.601486011418456	0.13554497159999776	2.669117250618015	0.5037122
Ovarian	Crohns disease	117|30319	0|110	0.6026974195413387	0.13625684066275207	2.6658784818066534	0.504479
Colorectal	Hypopituitarism	241|54634	0|65	0.598738701847983	0.13252949162776306	2.7049679938220605	0.5049867
Bladder	Cervical dysplasia	50|30319	0|196	0.6025100097875887	0.1357986180868854	2.6732106482996554	0.5050934
Bladder	Polycystic ovarian syndrome	50|30319	0|196	0.6025100097875887	0.1357986180868854	2.6732106482996554	0.5050934
Non-Melanoma Skin	Eyelid ptosis	129|54634	0|103	0.6019053933060242	0.13522352622113398	2.6791943134097744	0.5051753
Ovarian	Non-acute cystitis	117|30319	0|84	0.6019451203729612	0.13519296374956766	2.6801537438887424	0.5053136
All	Nasal polyp	2782|54634	33|590	0.9431648473637437	0.7939922487994258	1.1203634930287463	0.505321
Lymphoma	Hyperparathyroidism	193|54634	0|74	0.601510071340108	0.1346830821452168	2.686412875029616	0.5055778
All	Hidradenitis suppurativa	2782|54634	5|151	0.8744720029139559	0.5890734736919815	1.2981424525664478	0.5057534
Gynaecological	Enthesopathies	361|30319	69|3843	1.0496195865503608	0.9100873200280052	1.2105445842671985	0.5057756
Endocrine	Hyperplasia of prostate	49|24315	3|776	1.2936995731544683	0.6058838851109049	2.7623421363545533	0.5058307
Lung	Coeliac disease	130|54634	0|106	0.5799995217563669	0.11648217755964667	2.887990697678667	0.5059911
Uterine	Non-acute cystitis	102|30319	1|84	1.5902194093280118	0.405208536279318	6.240731730440107	0.5060576
Kidney	Ankylosing spondylitis	182|54634	1|106	1.5877564785080382	0.405894664535291	6.210898677198693	0.5064719
Lung	Type 1 Diabetes	130|54634	2|422	0.8250395123803199	0.4673224633124543	1.456574957180355	0.5072198
Breast	Parkinsons disease	428|30319	0|10	0.5908973295106017	0.1242984736632295	2.809042168681517	0.5083198
Gynaecological	Chronic ulcer of skin	361|30319	6|272	1.1700108239427593	0.7346626093911639	1.8633387770716718	0.508412
Non-Melanoma Skin	Sarcoidosis	129|54634	0|98	0.6024431348881278	0.13412166811233014	2.7060335282280095	0.5084973
Ovarian	Sjogrens disease	117|30319	0|68	0.6009244857570959	0.13250200786136457	2.7253189850545967	0.5090986
Gynaecological	Liver failure and transplant	361|30319	1|31	1.5833771457569588	0.4040173889466951	6.205384357939679	0.5095963
Kidney	Obsessive-compulsive disorder	182|54634	0|172	0.6042314252770712	0.13507329526322248	2.702944461234066	0.5098227
Breast	Scoliosis	428|30319	3|99	1.2629218942409552	0.6302869040545258	2.5305487083627907	0.5103497
Thyroid	Retinal detachments	121|54634	0|181	0.6028209851773897	0.13338995075631396	2.724291733446326	0.5107363
Endocrine	Hidradenitis suppurativa	164|54634	0|151	0.6047125849677427	0.13493837584263324	2.709957846571585	0.5109986
Prostate	Hidradenitis suppurativa	196|24315	0|69	0.5969213000447474	0.12803720925526985	2.782902255677257	0.5112342
Colorectal	Post-traumatic stress disorders	241|54634	17|2948	1.0943760680470702	0.8361517527018446	1.4323464304705313	0.5113153
Urinary	Diabetic neuropathy	212|54634	5|293	1.190306694037846	0.707284789634749	2.0031959496866545	0.5118447
Skin	Obsessive-compulsive disorder	159|54634	0|172	0.6044000293638998	0.1341654686698921	2.7227527255458344	0.5120328
Kidney	Coeliac disease	182|54634	0|106	0.6021895597096603	0.13221663069081202	2.742712954706343	0.512038
Urinary	Coronary heart disease	212|54634	44|2984	1.0650386610948321	0.8814932663743417	1.286802058389144	0.5137991
Skin	Barretts oesophagus	159|54634	0|57	0.5998443944406587	0.1292906277970039	2.7829805119889657	0.5139122
Non-Melanoma Skin	Intervertebral disc disorders	129|54634	9|1731	1.1341040999613337	0.7772295663997351	1.654841973532963	0.5139136
Thyroid	Respiratory failure	121|54634	0|169	0.6029355320461813	0.13197782010788786	2.7544875002984295	0.5139137
Cervical	Somatoform and dissociative disorders	137|30319	11|1935	1.1194494478164578	0.7977290783422726	1.5709181227550661	0.5139321
Male genital	Atrial fibrillation and flutter	222|24315	7|194	0.8884392565642283	0.622437958917287	1.268117249753543	0.5146703
Uterine	Intervertebral disc disorders	102|30319	5|857	0.8757303982235267	0.5873276486520316	1.305751112062999	0.515001
Uterine	Heart failure	102|30319	4|225	1.2187746880667083	0.6714107118939172	2.2123742054726065	0.5154377
Lung	Pulmonary hypertension	130|54634	0|60	0.5982898161747658	0.12713555494213408	2.8155043197896688	0.5156596
Urinary	Subdural haematoma	212|54634	0|48	0.5946085435228042	0.12387101207356802	2.854253905831728	0.515989
Respiratory	Psoriatic arthropathy	149|54634	0|78	0.5988051655325543	0.12737606835455462	2.815031354794116	0.516085
Prostate	Type 1 Diabetes	196|24315	7|205	1.1552225391463762	0.7472816824411961	1.7858581928465997	0.5161827
Urinary	Pancreatitis	212|54634	1|255	0.7849949455580593	0.37776559302183443	1.631215430771335	0.5165216
Ovarian	Sarcoidosis	117|30319	0|58	0.5997184403434692	0.12759309295286428	2.81882192338476	0.5172846
Male genital	Anxiety and phobia	222|24315	22|1719	1.082041570779479	0.8521405167403443	1.3739681870468803	0.5176112
Respiratory	Migraine	149|54634	9|4017	1.133002286344337	0.7761047350952629	1.6540218385652912	0.5176955
Ovarian	Obsessive-compulsive disorder	117|30319	0|104	0.6026690934282892	0.12948182437622424	2.8051044069191344	0.5186664
Skin	Spinal stenosis	159|54634	3|306	1.2560200106936195	0.6282778085677717	2.510969265107551	0.5189512
Skin	Hypertrophic cardiomyopathy	159|54634	1|74	1.5617953110985523	0.4027507639872898	6.056362425289902	0.5190761
Gynaecological	Cerebrovascular disease	361|30319	8|283	1.140723830553629	0.7643588050073638	1.7024084095955545	0.5192291
Male genital	Crohns disease	222|24315	2|143	1.3364702543893472	0.5518014662443294	3.236948160041033	0.52047
Respiratory	Cervical dysplasia	47|30319	0|196	0.6022907360542665	0.12826524661613617	2.828156030623143	0.5205345
Respiratory	Polycystic ovarian syndrome	47|30319	0|196	0.6022907360542665	0.12826524661613617	2.828156030623143	0.5205345
Lymphoma	Non-acute cystitis	193|54634	0|103	0.6031900245348433	0.12878625330580828	2.8251323131079524	0.5210725
Ovarian	Lupus erythematosus	117|30319	0|97	0.6026666827567368	0.12809148804798973	2.8355290116462153	0.521581
Non-Melanoma Skin	Trigeminal neuralgia	129|54634	0|86	0.6016424181134141	0.1270219821126853	2.849692574882336	0.5219776
Lymphoma	Non-malignant CNS tumour	193|54634	0|89	0.6028336445510014	0.12759193441284006	2.848208271745365	0.5229307
All	Gestational diabetes	2782|54634	128|3285	0.9706410980259776	0.8857510693104246	1.063666953188726	0.5233688
Kidney	Psoriasis	182|54634	7|1162	1.1485760985166484	0.7501287353861047	1.7586675351194168	0.523939
Lymphoma	Alopecia	193|54634	1|566	0.7902317674725677	0.3829507378023422	1.6306699130715165	0.5241388
Kidney	Lupus erythematosus	182|54634	0|117	0.6032732705020687	0.12723829653515883	2.8602916638521463	0.5244657
Endocrine	End stage renal disease	164|54634	0|130	0.603871410642624	0.127651855443846	2.8566813958448622	0.5246785
Skin	Non-acute cystitis	159|54634	0|103	0.6031019652197475	0.12697997019015753	2.864483114204694	0.524698
Thyroid	Obsessive-compulsive disorder	121|54634	0|172	0.6046527213851272	0.1282586949946688	2.850527315077055	0.5248213
Lung	Sjogrens disease	130|54634	0|77	0.5965328307388968	0.12128894073798037	2.9339147986963194	0.5249998
Breast	Iron deficiency	428|30319	82|4954	0.9618695888806335	0.8531873935383665	1.084396128002323	0.5250935
Endocrine	Lupus erythematosus	164|54634	0|117	0.6043843151674219	0.12788228584863814	2.8563799747272314	0.525122
Lymphoma	Meniere disease	193|54634	0|84	0.6024943447309807	0.1261909200946867	2.8765891805879478	0.52526
Cervical	Female genital prolapse	137|30319	5|884	1.1824942750773362	0.7044573280671597	1.9849218041740184	0.5258735
Lymphoma	Cervical dysplasia	72|30319	1|196	1.5453308039192841	0.4025020697100377	5.933006245811777	0.5260079
Lymphoma	Polycystic ovarian syndrome	72|30319	1|196	1.5453308039192841	0.4025020697100377	5.933006245811777	0.5260079
Cervical	Non-acute cystitis	137|30319	0|84	0.6037645348617259	0.1267231871641581	2.8765975802406185	0.5264269
Male genital	Alopecia	222|24315	1|323	0.7873951972466937	0.375557954552503	1.6508535876597576	0.5268494
Cervical	Chronic fatigue	137|30319	3|922	0.8556601523121196	0.5277090652095241	1.387420350575372	0.5272978
Endocrine	Epilepsy	164|54634	2|418	1.3233971115558412	0.5550465804604257	3.155374659585378	0.5273512
Lung	Retinal detachments	130|54634	1|181	0.7860318230748023	0.37249351898942096	1.6586759108252955	0.527456
Breast	Hypertrophic cardiomyopathy	428|30319	0|11	0.5935000385373891	0.11732142132549667	3.0023698295183547	0.5281856
Gynaecological	Polymyalgia rheumatica	361|30319	2|52	1.3266924962846485	0.5509396962560893	3.1947470687968926	0.5283859
Skin	Aortic aneurysm	159|54634	0|41	0.5988602581420044	0.12143254931802963	2.953356499521833	0.5288284
Digestive	Trigeminal neuralgia	534|54634	1|86	0.7875810444423504	0.3744667443879483	1.6564458950252954	0.5290071
Skin	Coeliac disease	159|54634	0|106	0.6010687249416874	0.12288011914238914	2.9401307113348683	0.5296826
Bladder	Coeliac disease	163|54634	0|106	0.6026660800903554	0.12404189345402777	2.928094645911592	0.5300782
Colorectal	Cardiomyopathy	241|54634	2|111	1.3251332229414468	0.5500344534946765	3.1924873930832427	0.5303223
Prostate	Thyroid disease	196|24315	13|613	1.105110245857713	0.808371377853848	1.5107767159471321	0.5309899
Prostate	Lupus erythematosus	196|24315	0|20	0.5927515139071411	0.11538487492568106	3.0450642466398974	0.531078
Prostate	Vitiligo	196|24315	1|216	0.7877496048211783	0.3733624407894559	1.6620564151653883	0.5311257
Cervical	Intervertebral disc disorders	137|30319	5|857	1.1786904098406832	0.7040544373727612	1.973300654754382	0.5317579
Haematopoietic	Irritable bowel syndrome	515|54634	20|1690	1.08073244382832	0.8470771349996502	1.3788385577703204	0.532186
Thyroid	Scoliosis	121|54634	0|161	0.6044792109540275	0.12434608412257246	2.938533360772507	0.5326647
Thyroid	Non-spinal osteoarthritis	121|54634	13|4019	1.1150909822348298	0.7916198735683142	1.5707386084896382	0.5331522
Lymphoma	Barretts oesophagus	193|54634	1|57	1.5328718467259996	0.3996390317203385	5.879546070288397	0.5334422
Skin	Hidradenitis suppurativa	159|54634	0|151	0.6043583272006149	0.12373560098251934	2.9518504355777586	0.5337227
Gynaecological	Sleep apnoea	361|30319	5|212	1.1765094953518354	0.704932771705382	1.963555459770183	0.5339294
Lymphoma	Obstructive and reflux uropathy	193|54634	3|459	1.2419379220304319	0.6274624565282264	2.4581706620528005	0.5339304
Lymphoma	Hyperprolactinaemia and prolactinoma	193|54634	0|192	0.6044707483043128	0.12369314221060415	2.95396235414134	0.5340101
Non-Melanoma Skin	COPD	129|54634	7|662	1.150476264862312	0.7391468080874304	1.7907073689953272	0.5346106
Non-Melanoma Skin	Barretts oesophagus	129|54634	0|57	0.6008103209508021	0.12014458818136282	3.0044885685246467	0.5349996
Lymphoma	Parkinsons disease	193|54634	0|34	0.5975794699023813	0.11743781024778999	3.0407687447112557	0.5350897
Kidney	Non-diabetic peripheral neuropathies	182|54634	7|691	1.1447645698353042	0.7466787797897879	1.755086599245729	0.5351763
Thyroid	Personality disorder	121|54634	1|749	0.7934982059109649	0.38192650659411076	1.648587861572709	0.5352609
Bladder	Thyroid disease	163|54634	13|2967	1.1032725405461943	0.8084408846129686	1.505626845314706	0.5355663
Haematopoietic	Obstructive and reflux uropathy	515|54634	7|459	1.1445035932658414	0.7467031816510357	1.7542291330567625	0.5356193
Kidney	Nasal polyp	182|54634	4|590	1.2007471643568202	0.6729639479097522	2.142453183694613	0.5357289
Endocrine	Dermatitis	164|54634	40|11312	1.0603872801194199	0.8807711785584421	1.2766325820054658	0.5357679
Kidney	Atrial fibrillation and flutter	182|54634	3|316	0.8552905869581847	0.5214788298980011	1.402783672507585	0.5357694
Kidney	Bronchiectasis	182|54634	3|204	1.2418795523197954	0.6250725724916718	2.4673372186564206	0.5362681
Digestive	Coeliac disease	534|54634	2|106	1.3197231767212723	0.5475881202578136	3.180619152868546	0.5364849
Cervical	Hidradenitis suppurativa	137|30319	0|82	0.6041927557032929	0.12219967155673667	2.9873147889341816	0.5366331
Lymphoma	Lupus erythematosus	193|54634	0|117	0.603864768093641	0.12190852385013064	2.991199028815047	0.5366641
Bladder	Psoriatic arthropathy	163|54634	0|78	0.6029445761469926	0.12094273377523446	3.0059032945352473	0.537068
Cervical	Coeliac disease	137|30319	0|78	0.6034633315153147	0.12118827390333341	3.004977138085518	0.5374642
Male genital	Lupus erythematosus	222|24315	0|20	0.5954415784721383	0.1145145854795082	3.096118034997704	0.5376433
Lung	Psoriatic arthropathy	130|54634	0|78	0.59876923830045	0.11689327733324138	3.0671105209310965	0.5383247
Breast	Spinal stenosis	428|30319	6|136	1.1574010299040502	0.7265510863495845	1.8437480435868634	0.5383447
Uterine	Retinal vascular occlusions	102|30319	0|40	0.6000609773579163	0.11777326334929673	3.0573422719876424	0.5387039
Bladder	Learning disability	163|54634	0|264	0.603662507276908	0.12051706955808623	3.0237079612710573	0.5392158
Uterine	Tinnitus	102|30319	3|640	0.856861486044367	0.5229437360283392	1.4039973245350674	0.5397725
Thyroid	Chronic viral hepatitis	121|54634	2|616	1.3103863272048502	0.5519084157315581	3.111226931101192	0.5400506
Urinary	Hypopituitarism	212|54634	0|65	0.5995589364532958	0.11642510130303116	3.0875723040633365	0.5406895
Kidney	Subdural haematoma	182|54634	0|48	0.600096382000007	0.11681897553631243	3.082681268485862	0.5407857
Prostate	Hypopituitarism	196|24315	0|30	0.5930734653811072	0.11094256100790863	3.170434611781512	0.5412973
Thyroid	Sleep apnoea	121|54634	2|621	1.3091525244969346	0.5509944403439506	3.1105220069495276	0.541798
Non-Melanoma Skin	Hypertension	129|54634	52|9327	1.0688480716433306	0.8629491258361701	1.3238743351743738	0.5419494
Kidney	Rosacea	182|54634	1|477	0.7954629553855852	0.3810671624479033	1.6604981371945848	0.5422404
Breast	Eating disorders	428|30319	3|301	0.8591978994540673	0.5273772616723845	1.3997968514707724	0.5422534
Male genital	Hypopituitarism	222|24315	0|30	0.5957483098616048	0.11252676213314569	3.15405901649431	0.5424527
Ovarian	Eyelid ptosis	117|30319	0|58	0.599872587789736	0.115801717771788	3.1074420009097805	0.542553
Bladder	Lupus erythematosus	163|54634	0|117	0.6034078154425939	0.11869971243375364	3.0674125848485816	0.5425706
Non-Melanoma Skin	Non-acute cystitis	129|54634	0|103	0.6032865426600129	0.11805920063846839	3.0828148131309687	0.5437007
Skin	Ankylosing spondylitis	159|54634	0|106	0.6038104227100914	0.11838913570389663	3.079564897620412	0.5439183
Ovarian	Coeliac disease	117|30319	0|78	0.6020528781935452	0.1168154756922333	3.102907949423616	0.5441768
Endocrine	Spondylolisthesis	164|54634	0|88	0.6019282661455511	0.11648450256711425	3.110436406561764	0.5446576
Respiratory	Autonomic neuropathy	149|54634	1|87	1.511949684868092	0.39682153236934553	5.760755561633721	0.5446955
Respiratory	Dermatitis	149|54634	43|11312	1.0592952197920875	0.8790504958663891	1.276498185202004	0.5449621
Non-Melanoma Skin	Learning disability	129|54634	0|264	0.6040393102317442	0.11791772305059113	3.0942209437736605	0.5452978
Respiratory	Supraventricular tachycardia	149|54634	2|180	1.307625634614381	0.5477518516755986	3.1216412962732027	0.5457448
Gynaecological	Psoriatic arthropathy	361|30319	1|38	1.5060841435077343	0.3987799810991779	5.688072508236803	0.5458364
Non-Melanoma Skin	Liver fibrosis, sclerosis and cirrhosis	129|54634	1|131	1.504622445573581	0.3993702130601672	5.668646858704901	0.5460484
Uterine	End stage renal disease	102|30319	0|47	0.6002428233823371	0.11439870500349837	3.149436411985448	0.5461613
Kidney	Alllergic and chronic rhinitis	182|54634	41|11166	1.0573986625810101	0.8818972803022026	1.2678255808261125	0.5466858
Endocrine	Thrombophilia	164|54634	0|104	0.6044683304261553	0.11752898675912425	3.108866778857154	0.546848
Male genital	Peripheral venous and lymphatic disease	222|24315	14|453	1.0970690239929042	0.8115686493338613	1.4830050968487145	0.5469119
Gynaecological	Lupus erythematosus	361|30319	2|97	1.3035639325185766	0.5500129365677295	3.0895253787436037	0.5470779
Bladder	Sjogrens disease	163|54634	0|77	0.6027914476727908	0.11599833516553658	3.1324374515282987	0.5471626
